Codigo Proyecto;Warning;Dif de avance;Estado;Cockpit;Mercado;3 Horizontes;Focos de Gerencia de Innovación;Focos de Innovación de Entel;Proyectos;Actividades;Categorias de innovación;Avance de Actividad %;Prioridad;Fecha de Proyecto;Responsable;Lidera;Equipo;Rol E&I;Comentario;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
 ;; ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
